name,Age,Overall,Potential,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Position,Height,Weight,Release Clause
M. Pavone,36,71,71,9K,1770,Right,2,3,2,ST,5'11,179lbs,1.3M
T. Goiginger,25,71,74,8K,1775,Right,1,3,4,RW,5'11,152lbs,4.5M
K. Beckerman,36,71,71,4K,1835,Right,1,3,2,RCM,5'10,154lbs,488K
Luis García,37,71,71,6K,1906,Right,1,4,3,RCM,5'10,143lbs,1.1M
Lyanco,21,71,80,16K,1522,Right,1,3,2,CB,6'2,165lbs,6.1M
A. Luci,33,71,71,3K,1931,Right,1,4,3,CM,5'8,150lbs,2.2M
Luca Sangalli,23,71,79,14K,1714,Right,1,3,2,RM,5'6,163lbs,8M
S. Ameobi,26,71,72,8K,1739,Left,1,3,4,CAM,6'4,172lbs,5.5M
J. Price,25,71,74,5K,1815,Right,1,3,2,CDM,5'7,152lbs,3.8M
Go Yo Han,30,71,71,6K,1963,Right,1,3,3,RM,5'7,143lbs,2.7M
O. Hawsawi,32,71,71,21K,1548,Right,1,3,2,CB,6'1,168lbs,2.3M
Jaime Romero,27,71,71,7K,1809,Left,1,2,3,RM,5'9,170lbs,3.8M
S. Grippo,29,71,71,7K,1812,Right,1,3,2,CB,6'2,176lbs,2.9M
F. Chalov,20,71,83,1K,1653,Right,1,4,3,RS,5'11,170lbs,10.3M
L. Siligardi,30,71,71,27K,1802,Left,1,3,3,RW,5'11,159lbs,4M
D. Appiah,26,71,72,12K,1806,Right,1,4,2,RB,5'9,170lbs,3.6M
S. Silva,37,71,71,8K,1765,Right,1,3,3,RS,6'1,176lbs,1.3M
J. Paterson,26,71,72,26K,1763,Right,1,4,3,LM,5'9,148lbs,5.5M
T. Barkhuizen,24,71,74,9K,1784,Right,1,3,3,RM,5'9,154lbs,5.9M
I. Bangoura,33,71,71,15K,1739,Right,2,3,3,ST,5'9,161lbs,2.5M
S. Memišević,24,71,74,5K,1587,Right,1,3,2,LDM,6'1,170lbs,3.9M
F. Tabanou,29,71,71,14K,2026,Left,1,3,3,LB,5'10,170lbs,3.6M
T. Hoogland,33,71,71,11K,1834,Right,1,2,2,LCB,6'0,176lbs,1.5M
G. Pezzella,20,71,83,11K,1826,Left,1,4,3,LB,6'2,187lbs,7.4M
D. Kolovetsios,26,71,74,1K,1596,Left,1,3,2,RCB,6'0,170lbs,5.6M
Enric Gallego,31,71,71,6K,1593,Left,1,3,3,RS,6'2,192lbs,3.3M
J. Garner,30,71,71,35K,1872,Right,1,3,3,ST,5'10,161lbs,4.3M
K. Bonifazi,22,71,79,19K,1506,Right,1,2,2,CB,6'2,187lbs,
Souza,30,71,71,6K,1958,Right,1,3,3,LCM,6'0,165lbs,2.2M
J. Adéoti,29,71,71,5K,1723,Right,1,3,2,LDM,6'0,179lbs,3.3M
R. Caroca,28,71,71,8K,1872,Right,1,3,3,LDM,5'9,159lbs,2.7M
D. Rosero Valencia,24,71,78,2K,1692,Right,1,2,2,RCB,5'11,179lbs,4.6M
M. Jonjić,27,71,73,6K,1554,Right,1,3,2,RCB,6'2,183lbs,3.1M
A. Tarek,26,71,74,5K,1578,Left,1,3,2,CB,6'3,194lbs,3.9M
O. Fink,36,71,71,14K,1874,Right,1,4,2,CM,6'2,172lbs,1.4M
F. Macheda,26,71,72,1K,1700,Right,2,3,3,ST,6'0,161lbs,6.4M
M. Duffy,32,71,71,10K,1748,Right,1,3,3,CAM,5'9,159lbs,3.5M
Y. Chibsah,25,71,74,11K,1892,Right,1,3,3,RCM,5'10,172lbs,5.5M
T. Schütz,30,71,71,9K,1873,Right,1,3,2,LDM,5'11,165lbs,2.8M
Rodrigo Becão,22,71,80,1K,1474,Right,1,2,2,RCB,6'3,174lbs,7.6M
M. Loum,21,71,79,6K,1720,Right,1,2,2,CDM,6'2,176lbs,
D. Fletcher,34,71,71,26K,1904,Right,2,3,3,CM,6'0,183lbs,2.2M
Vadillo,23,71,77,6K,1707,Right,1,3,3,RM,5'11,154lbs,5.8M
P. Klement,25,71,72,8K,1849,Left,1,3,3,CAM,5'9,157lbs,4.6M
A. Gogia,26,71,72,21K,1787,Right,1,4,4,RW,5'10,159lbs,4.7M
A. Cole,37,71,71,4K,1888,Left,3,2,3,LB,5'9,146lbs,405K
K. Tsimikas,22,71,78,1K,1940,Left,1,3,3,LB,5'9,150lbs,6.7M
Mateus,34,71,71,6K,1851,Right,1,3,3,LM,5'9,165lbs,2.5M
Babanco,32,71,71,8K,1942,Left,1,3,3,LDM,5'10,154lbs,3.8M
X. Mercier,28,71,71,10K,1825,Right,1,2,3,LCM,5'9,157lbs,3.5M
D. Nugent,33,71,71,29K,1770,Right,1,3,3,ST,5'11,168lbs,2.8M
N. Fernández,39,71,71,4K,1154,Right,1,3,1,GK,6'5,187lbs,240K
O. Hernández,25,71,74,17K,1768,Right,1,3,3,LM,5'8,168lbs,5.9M
E. Mathoho,28,71,73,1K,1529,Right,1,3,2,CB,6'3,168lbs,5.1M
B. Sarr,27,71,73,5K,1825,Left,1,4,2,LCM,6'2,179lbs,3.1M
A. Sagal,25,71,76,19K,1847,Left,1,3,3,ST,5'10,170lbs,5.6M
J. Grimm,31,71,71,11K,1748,Right,1,3,2,CDM,5'11,152lbs,3.2M
M. Nyatama,30,71,71,1K,1772,Right,1,4,3,RCM,5'9,179lbs,4.8M
B. Touré,26,71,75,5K,1755,Right,1,3,2,RDM,6'0,170lbs,4.8M
Diego González,23,71,79,6K,1625,Left,1,3,2,CB,6'1,183lbs,5.4M
S. Rosted,23,71,76,11K,1665,Right,1,3,2,CB,6'2,174lbs,4.2M
Y. Suzuki,22,71,81,8K,1791,Right,1,3,3,RS,6'0,165lbs,5.8M
I. Sacko,20,71,81,16K,1791,Right,1,3,3,ST,6'0,154lbs,8.2M
Flavio Paixão,33,71,71,7K,1815,Right,1,4,4,ST,6'0,165lbs,2M
G. Fernández,34,71,71,11K,1833,Right,1,4,3,CAM,5'7,154lbs,1.8M
J. Hayes,30,71,71,31K,1859,Left,1,4,3,LM,5'8,161lbs,4M
T. Ouwejan,22,71,77,8K,1860,Left,1,4,3,LB,6'0,159lbs,4.6M
D. Guerrero,30,71,71,31K,1757,Right,1,3,3,CDM,5'9,157lbs,
W. Routledge,33,71,71,18K,1763,Right,2,2,3,RM,5'7,170lbs,2.7M
C. Paterson,23,71,77,24K,1992,Right,1,3,3,RB,6'2,168lbs,7M
Hwang Ui Jo,25,71,74,9K,1802,Right,2,4,3,ST,6'0,161lbs,4M
G. Kvilitaia,24,71,74,13K,1751,Right,1,4,3,ST,6'4,181lbs,4.8M
R. Krishna,30,71,71,4K,1931,Right,1,4,3,RS,5'7,154lbs,2.9M
T. Castagne,22,71,78,14K,1836,Right,1,3,3,LM,6'1,176lbs,6.3M
Léo Jardim,23,71,80,4K,1145,Right,1,2,1,GK,6'2,163lbs,6.4M
Heitor Gesse,34,71,71,16K,1874,Left,1,2,2,LB,5'10,152lbs,1.3M
L. Majer,20,71,83,1K,1711,Left,1,4,4,CAM,5'10,165lbs,10.2M
R. Carrera,26,71,72,4K,1833,Right,1,4,3,RM,6'0,159lbs,4M
B. Celina,21,71,81,13K,1746,Right,1,3,3,LCM,5'11,146lbs,8.1M
R. Matarrita,23,71,78,5K,1871,Left,1,2,3,LB,5'9,154lbs,4.8M
L. Vitale,30,71,71,3K,1995,Left,1,2,3,LM,5'11,157lbs,2.7M
R. Gestede,29,71,71,36K,1698,Right,1,3,3,ST,6'4,190lbs,4.5M
Pedro López,34,71,71,13K,1913,Right,1,3,3,RB,5'9,159lbs,1.4M
J. Lucumi,20,71,84,7K,1554,Left,1,3,2,CB,6'1,172lbs,8.7M
W. Endo,25,71,75,7K,1834,Right,1,4,3,CDM,5'10,165lbs,4.1M
João Bardinho,34,71,71,13K,1961,Left,1,4,3,LB,5'10,157lbs,1.3M
F. Barrientos,26,71,72,12K,1880,Right,1,3,3,CM,5'9,154lbs,4.3M
P. Glykos,31,71,71,1K,1126,Right,1,2,1,GK,6'2,181lbs,3M
C. Moritz,28,71,71,10K,1920,Right,1,3,3,CM,6'1,176lbs,3.8M
E. Kachunga,26,71,72,28K,1846,Right,1,2,3,RM,5'10,163lbs,5.5M
S. Mendoza,26,71,72,12K,1815,Left,1,3,3,LM,5'7,154lbs,5.8M
Diego Galo,34,71,71,8K,1489,Right,1,2,2,LCB,6'1,176lbs,1.5M
Lins,30,71,71,8K,1752,Right,1,3,3,ST,5'8,152lbs,2.9M
G. Pegolo,37,71,71,14K,1107,Left,1,2,1,GK,6'0,168lbs,272K
U. Bulut,35,71,71,8K,1698,Right,1,3,3,ST,6'0,165lbs,2.2M
Dani Calvo,24,71,75,6K,1648,Right,1,3,2,CB,6'3,181lbs,4.4M
Alam Araújo,26,71,71,16K,1828,Left,1,3,2,LB,5'10,172lbs,3.6M
F. Andrijašević,27,71,72,13K,1900,Right,1,3,3,CAM,6'1,181lbs,4.3M
I. Fiolić,22,71,78,9K,1655,Left,1,3,3,CAM,5'9,154lbs,5.7M
M. Caire,29,71,71,10K,1817,Right,1,4,3,RB,5'10,154lbs,2.7M
C. Adams,21,71,79,15K,1866,Right,1,4,3,RS,5'10,146lbs,7.5M
P. Škuletić,28,71,71,18K,1565,Left,1,3,2,ST,6'4,196lbs,4.9M
G. Lux,36,71,71,7K,1124,Right,2,2,1,GK,6'1,170lbs,455K
P. Kieszek,34,71,71,5K,1176,Right,1,2,1,GK,6'2,181lbs,1.5M
B. Cortés,23,71,81,4K,1216,Right,1,3,1,GK,6'1,174lbs,4.7M
S. Nishikawa,32,71,71,6K,1255,Left,1,3,1,GK,6'0,179lbs,1.8M
M. Lustig,31,71,71,28K,1817,Right,2,3,3,RB,6'2,172lbs,2.8M
A. Bjelica,24,71,75,9K,1966,Left,1,4,3,LM,6'0,179lbs,4.9M
G. Alcoba,33,71,71,13K,1619,Right,1,2,2,CB,6'0,183lbs,1.6M
J. Rhodes,28,71,71,21K,1705,Right,1,2,2,ST,6'1,157lbs,
J. Campos,30,71,71,0,1744,Left,1,3,3,CAM,5'9,141lbs,
Borja Lasso,24,71,77,9K,1727,Right,1,4,3,CAM,6'1,159lbs,7.5M
O. Cabezas,21,71,79,1K,1603,Left,1,3,2,LCB,5'11,174lbs,
G. Sunu,27,71,71,11K,1781,Left,1,3,3,ST,5'11,183lbs,4.8M
D. Williams,29,71,71,29K,1987,Right,1,3,3,CM,6'0,176lbs,4.3M
Nuno Santos,23,71,76,6K,1836,Left,1,3,4,LW,5'10,161lbs,6.9M
N. González,20,71,83,17K,1724,Left,1,3,4,LCM,5'11,148lbs,8.1M
M. Boland,31,71,71,4K,2004,Left,1,4,3,LCM,5'9,154lbs,2.5M
M. Bianchetti,25,71,72,3K,1500,Right,1,3,2,CB,6'2,179lbs,3.9M
G. Celis,25,71,74,6K,1719,Right,1,3,2,CDM,5'10,161lbs,5.4M
Somália,29,71,71,22K,1930,Right,1,4,3,CM,5'11,161lbs,3.7M
Y. El Ghanassy,27,71,71,16K,1763,Right,1,4,4,LM,5'8,161lbs,
E. Finlay,27,71,71,6K,1772,Right,1,3,3,RM,5'9,165lbs,3.7M
A. Uchida,30,71,71,8K,1858,Right,2,2,3,RB,5'9,154lbs,2.2M
N. Brighenti,28,71,71,11K,1592,Right,1,3,2,CB,5'10,165lbs,3.5M
I. Tajouri-Shradi,24,71,76,6K,1771,Left,1,4,3,RW,5'7,152lbs,5M
S. Abdullahi,21,71,79,4K,1623,Right,1,3,3,RW,6'1,190lbs,
Lionn,29,71,71,7K,1856,Right,1,3,3,RB,6'0,170lbs,3.8M
J. Larsson,28,71,71,16K,2000,Right,1,4,3,RB,5'11,165lbs,2.4M
T. Pachonik,23,71,77,2K,1792,Right,1,2,3,RB,6'1,194lbs,4.8M
F. Bellugou,31,71,71,5K,1737,Right,1,3,2,LCB,6'2,165lbs,2.9M
Osmar,30,71,71,5K,1800,Left,2,3,2,CDM,6'4,196lbs,
S. Motta,34,71,71,2K,1884,Right,1,3,3,CAM,5'8,152lbs,1.6M
Pau Torres,21,71,79,12K,1571,Left,1,3,2,LCB,6'4,179lbs,
André Pereira,23,71,78,8K,1630,Left,1,3,3,ST,6'2,168lbs,7.4M
Tiago Sá,23,71,79,6K,1029,Right,1,3,1,GK,6'1,172lbs,5.7M
M. Coda,29,71,71,5K,1611,Right,1,4,3,ST,6'0,159lbs,3.8M
W. Mesloub,32,71,71,7K,1949,Right,1,3,3,CAM,5'11,152lbs,3.2M
M. Capuano,26,71,73,10K,1605,Left,1,2,2,LCB,6'1,176lbs,4.5M
A. Henríquez,35,71,71,3K,1368,Left,1,3,2,CB,6'4,207lbs,770K
G. Dorrans,31,71,71,31K,1899,Right,1,3,3,CM,5'10,172lbs,3.7M
Víctor Díaz,30,71,71,6K,1852,Right,1,3,3,RB,6'0,159lbs,2.7M
T. Makino,31,71,71,8K,1778,Right,1,4,2,LCB,6'0,170lbs,2.1M
J. Mensah,27,71,72,5K,1670,Right,2,2,2,RCB,6'2,183lbs,3.5M
I. Sylla,24,71,75,14K,1932,Left,1,2,3,LB,5'11,165lbs,5.3M
Cyriac,27,71,71,11K,1824,Right,1,4,3,ST,5'8,165lbs,5.1M
Bernardo,24,71,78,5K,1494,Right,1,3,2,CB,6'3,187lbs,5.1M
P. Gollini,23,71,79,10K,1165,Right,1,3,1,GK,6'2,176lbs,5M
M. Vlap,21,71,78,5K,1736,Right,1,4,3,CAM,6'3,152lbs,5.7M
Tiago Pombeira,30,71,71,21K,1741,Left,1,3,3,RAM,5'8,143lbs,4.3M
Y. Soteldo,21,71,81,6K,1638,Right,1,4,3,CAM,5'3,121lbs,6.1M
Rafa López,33,71,71,5K,1680,Right,1,4,2,RCB,5'10,159lbs,1.5M
A. Nocerino,33,71,71,4K,1922,Right,2,3,3,CDM,5'9,165lbs,1.5M
J. Harper,22,71,79,7K,1735,Left,1,3,3,RS,6'1,172lbs,6.4M
R. De Laet,29,71,71,13K,1762,Right,1,4,3,RB,6'1,170lbs,
J. Zimmer,24,71,76,14K,1887,Right,1,3,2,RM,5'7,163lbs,4.9M
C. Săpunaru,34,71,71,9K,1936,Right,2,3,2,RCB,6'2,179lbs,1.5M
Afonso Figueiredo,25,71,74,6K,1814,Left,1,3,3,LB,5'7,141lbs,5.3M
J. Omlin,24,71,79,10K,1245,Right,1,3,1,GK,6'2,176lbs,4.4M
R. Yaremchuk,22,71,76,13K,1827,Right,1,3,3,ST,6'3,174lbs,5.1M
F. Wiedwald,28,71,71,16K,1169,Right,2,2,1,GK,6'3,181lbs,2.8M
A. Galabinov,29,71,71,4K,1609,Right,1,2,3,ST,6'3,194lbs,3.7M
Maikel Mesa,27,71,72,8K,1901,Right,1,3,3,CAM,6'2,174lbs,4.6M
B. Garnica,22,71,77,12K,1697,Right,1,3,3,RM,5'6,123lbs,6.2M
D. Arslanagic,25,71,75,7K,1437,Right,1,3,2,RCB,6'3,192lbs,4.1M
H. Henao,31,71,71,2K,1984,Right,1,3,3,RDM,5'11,152lbs,2.2M
Y. Kashiwa,30,71,71,9K,1794,Right,1,4,4,LM,5'6,137lbs,2.8M
J. Gol,32,71,71,5K,1925,Right,1,4,3,CDM,6'0,170lbs,2.4M
N. Ghilas,28,71,71,18K,1745,Right,1,4,3,ST,6'0,187lbs,4.9M
B. McKay,23,71,78,17K,1756,Right,1,4,3,LW,5'9,148lbs,7M
Carraça,25,71,75,5K,1971,Right,1,3,2,RB,5'10,163lbs,5.5M
Adriano Facchini,35,71,71,5K,1089,Right,1,2,1,GK,6'1,163lbs,908K
A. Callens,26,71,75,5K,1582,Left,1,3,2,LCB,6'1,168lbs,4M
J. Perbet,33,71,71,11K,1577,Right,1,3,2,ST,6'0,185lbs,2.2M
M. Antonsson,27,71,72,6K,1751,Right,1,4,3,LS,6'0,176lbs,3.8M
Carlitos,35,71,71,14K,1858,Right,1,4,4,LM,5'9,161lbs,1.5M
C. Lucchetti,40,71,71,4K,1302,Right,1,3,1,GK,6'0,152lbs,240K
J. Bostock,26,71,74,16K,2018,Left,1,3,3,RDM,6'2,185lbs,5.1M
V. Milinković-Savić,21,71,79,12K,1314,Right,1,3,1,GK,6'8,203lbs,
G. Peñalba,33,71,71,8K,1884,Right,1,3,3,CM,6'4,198lbs,2.2M
L. Kleinheisler,24,71,76,0,1921,Right,1,4,3,RCM,5'8,154lbs,
R. Aliendro,27,71,72,8K,1988,Right,1,3,3,LDM,5'10,150lbs,3.5M
L. Seijas,32,71,71,3K,1957,Left,1,2,3,RAM,5'10,157lbs,2.6M
L. Fuentes,31,71,71,13K,1931,Left,1,3,3,LB,5'8,141lbs,2.6M
R. Hassan,27,71,71,16K,1862,Right,1,4,3,RW,5'8,141lbs,3.2M
L. Di Plácido,24,71,75,9K,1810,Right,1,2,3,RM,5'9,159lbs,4M
Heriberto Tavares,21,71,80,6K,1770,Left,1,5,3,RW,5'11,146lbs,
Pulido,27,71,72,13K,1559,Right,1,3,2,CB,6'1,159lbs,5.1M
Ewerton,25,71,74,8K,1911,Right,1,3,3,RCM,5'10,152lbs,
G. Verón,28,71,71,14K,1788,Right,1,3,3,RM,5'10,168lbs,3.4M
O. Boscagli,20,71,81,12K,1712,Left,1,4,3,LB,5'11,150lbs,7M
C. Jerome,31,71,71,17K,1816,Right,2,2,3,ST,6'1,187lbs,4.3M
E. Muñoz,27,71,73,16K,1426,Right,1,3,2,CB,6'1,172lbs,5M
U. Đerić,26,71,73,5K,1603,Right,1,3,3,ST,6'5,209lbs,3.9M
E. Albayrak,27,71,72,4K,1972,Left,1,3,3,LB,5'10,152lbs,2.9M
F. Calvo,25,71,73,5K,1797,Left,1,3,2,LB,5'11,170lbs,3.8M
F. Costa,23,71,77,8K,1769,Left,1,2,3,LM,5'9,154lbs,6.5M
Xavi Torres,31,71,71,5K,1832,Right,1,3,2,CDM,6'0,181lbs,2.5M
A. Cadavid,32,71,71,3K,1509,Left,1,3,2,RCB,6'2,192lbs,1.9M
J. Spector,32,71,71,5K,1818,Right,2,4,2,CB,6'0,176lbs,2M
Felipe,31,71,71,18K,1565,Left,1,3,2,CB,6'4,198lbs,2.9M
M. Dijks,25,71,74,17K,1731,Left,1,3,2,LM,6'4,207lbs,4.3M
M. Hassen,23,71,78,12K,1120,Right,1,2,1,GK,6'1,176lbs,5.1M
M. Bourabia,26,71,72,29K,1837,Right,1,3,3,RCM,6'0,161lbs,4.9M
L. Hejda,28,71,73,1K,1570,Right,1,3,2,CB,6'2,190lbs,5.1M
E. Bergström,25,71,75,11K,1546,Right,1,3,2,CB,6'2,192lbs,4.1M
Shikabala,32,71,71,0,1863,Left,1,3,5,LW,6'0,163lbs,
Aurélio Buta,21,71,79,6K,1857,Right,1,3,4,RB,5'8,159lbs,5.1M
C. Penilla,27,71,71,6K,1775,Right,1,3,3,LM,5'9,168lbs,3.6M
D. Cools,22,71,78,12K,1860,Right,1,4,3,RM,6'0,172lbs,5.7M
D. Muñoz,22,71,79,1K,1729,Right,1,3,2,RB,6'0,168lbs,4.6M
G. Sandoval,22,71,80,20K,1860,Right,1,4,3,LM,5'7,146lbs,6.9M
Y. Bodiger,23,71,79,14K,1865,Left,1,3,3,CDM,6'2,176lbs,6.6M
T. Kleindienst,22,71,76,15K,1678,Right,1,3,3,ST,6'4,185lbs,6M
J. Abella,24,71,75,11K,1794,Right,1,2,2,RB,5'9,163lbs,4.5M
U. Emanuelson,32,71,71,12K,1968,Left,1,3,3,LCM,5'9,150lbs,2.7M
R. Tesche,31,71,71,12K,1979,Right,1,4,3,LDM,5'11,157lbs,3.2M
B. Nivet,41,71,71,5K,1785,Right,2,3,3,CAM,5'10,165lbs,
Léo Jabá,19,71,82,1K,1682,Right,1,3,3,LM,5'11,176lbs,9.1M
Paulo Henrique,29,71,71,13K,1806,Right,1,4,3,ST,6'1,176lbs,4.7M
Y. Meriah,24,71,75,1K,1708,Right,1,2,2,CB,6'3,183lbs,5.9M
A. Soto,24,71,75,10K,1753,Left,1,2,3,LB,5'10,157lbs,4M
J. Quiñones,21,71,81,25K,1684,Right,1,3,3,ST,5'10,168lbs,7M
Domingos Duarte,23,71,79,7K,1494,Right,1,3,2,RCB,6'3,172lbs,
E. Başsan,26,71,72,10K,1774,Left,1,2,3,RM,5'10,146lbs,5.6M
F. Avenatti,25,71,73,20K,1479,Left,1,2,3,RS,6'5,190lbs,
V. Fiorillo,28,71,71,3K,1043,Right,1,2,1,GK,6'3,174lbs,2.6M
O. González,33,71,71,14K,1713,Right,1,3,2,RCB,6'0,174lbs,1.6M
Zheng Zhi,37,71,71,8K,1898,Right,1,4,3,RDM,5'11,165lbs,715K
M. Henriksen,25,71,74,17K,1943,Right,1,2,3,CM,6'2,176lbs,5.8M
Paulolettinho,34,71,71,14K,1734,Right,1,3,3,LAM,5'11,176lbs,2.3M
S. Malezas,33,71,71,1K,1495,Right,1,3,2,CB,6'4,168lbs,2M
W. Lautoa,30,71,71,9K,1597,Left,1,3,2,LCB,6'0,192lbs,3.5M
M. Fofana,26,71,71,12K,1719,Right,1,3,4,LM,5'10,157lbs,5.1M
J. Cornejo,27,71,71,17K,1869,Left,1,2,3,LB,5'10,172lbs,3.3M
J. Duque,31,71,71,15K,1687,Right,1,2,3,ST,6'0,174lbs,3.6M
E. Horvath,23,71,77,9K,1123,Right,1,3,1,GK,6'5,190lbs,4M
J. McClean,29,71,71,30K,1984,Left,2,2,3,LW,5'11,154lbs,4.4M
A. Guédioura,32,71,71,30K,1918,Right,1,4,3,RDM,5'10,179lbs,3.4M
E. Valentini,29,71,71,15K,1940,Right,1,3,3,RB,6'0,172lbs,3.2M
J. Šimunović,23,71,76,24K,1526,Right,1,3,2,CB,6'3,187lbs,5M
C. Kouamé,20,71,85,9K,1677,Right,1,3,3,RS,6'1,154lbs,11.6M
N. De Pauw,28,71,71,11K,1871,Right,1,4,3,CAM,5'11,174lbs,3.6M
Alex das Freitas,30,71,71,10K,1814,Right,1,3,2,LDM,5'8,168lbs,3.3M
Mossa,29,71,71,7K,1860,Left,1,3,3,LWB,5'10,159lbs,2.9M
J. Marriott,23,71,78,25K,1670,Right,1,4,2,ST,5'8,157lbs,7.1M
J. Riojas,30,71,71,0,1776,Right,1,3,3,RM,5'9,163lbs,
L. Fröde,23,71,79,5K,1718,Right,1,2,2,CDM,6'4,187lbs,5.4M
L. Pokorný,24,71,77,1K,1734,Left,1,3,2,CB,6'3,190lbs,6.6M
D. Vavro,22,71,81,11K,1669,Right,1,3,2,RCB,6'3,168lbs,5M
M. Bjärsmyr,32,71,71,9K,1557,Right,1,2,2,RCB,6'1,181lbs,2.7M
Oriol Riera,31,71,71,7K,1775,Right,1,3,3,ST,6'0,172lbs,2.7M
M. Maolida,19,71,85,11K,1671,Right,1,4,4,ST,6'0,168lbs,12.6M
M. Mostefa,34,71,71,4K,1730,Right,1,3,2,RDM,5'11,181lbs,1.3M
R. Carrascal,25,71,73,3K,1805,Right,1,3,2,LCM,5'8,165lbs,4.2M
O. Mangala,20,71,82,15K,1826,Right,1,4,3,CDM,5'10,172lbs,
M. Barthelmé,29,71,71,5K,1884,Left,1,3,3,LCM,5'9,161lbs,4M
A. Novikovas,27,71,71,7K,1800,Left,1,4,3,RM,5'10,168lbs,3.3M
Ji Dong Won,27,71,71,17K,1850,Right,2,4,3,CF,6'2,179lbs,4.3M
R. Rúnarsson,23,71,79,6K,1122,Right,1,2,1,GK,6'1,168lbs,5.7M
D. Rotariu,22,71,78,14K,1757,Left,1,4,4,RW,5'11,159lbs,
Paulinho,17,71,86,15K,1788,Right,1,2,4,RM,5'10,170lbs,10.9M
Juan Carlos,27,71,71,6K,1760,Right,1,3,3,CAM,6'0,159lbs,3.8M
M. Korhut,29,71,71,0,1667,Left,1,3,3,LB,5'11,168lbs,
S. Piette,23,71,76,5K,1819,Right,1,2,2,CDM,5'7,174lbs,4.2M
N. Ortigoza,33,71,71,10K,1776,Right,1,3,2,LDM,5'11,172lbs,1.4M
António Filipe,33,71,71,5K,1066,Right,1,2,1,GK,6'2,179lbs,2.5M
M. Pereira Lage,21,71,81,4K,1856,Right,1,3,3,CAM,5'11,148lbs,7.5M
Jean Cléber,28,71,71,8K,1840,Right,1,3,3,LDM,5'11,176lbs,4.9M
O. Danchenko,23,71,77,1K,1757,Right,1,3,3,RB,5'10,141lbs,6.3M
C. Pantilimon,31,71,71,22K,1120,Right,1,2,1,GK,6'8,212lbs,2.7M
Guillermo,25,71,76,8K,1779,Right,1,3,3,ST,5'11,163lbs,5.3M
O. Vizcarrondo,34,71,71,6K,1397,Right,2,2,2,CB,6'3,187lbs,1.3M
E. Aguirre,21,71,82,14K,1882,Right,1,3,3,LM,5'8,143lbs,7.7M
Edu Machado,28,71,71,6K,1776,Right,1,2,3,RB,5'9,148lbs,3.9M
H. Dean,26,71,73,17K,1543,Right,1,3,2,LCB,6'3,165lbs,4.7M
D. Andrade,27,71,71,2K,1684,Left,1,3,3,LB,5'8,154lbs,2.7M
D. Martínez,28,71,71,13K,1854,Right,1,3,3,RWB,5'9,170lbs,
C. Bryson,31,71,71,26K,1950,Right,1,3,3,RCM,5'7,132lbs,3.9M
B. Başaçıkoğlu,23,71,76,9K,1842,Right,1,4,3,LM,5'8,154lbs,6.6M
K. Mrabti,24,71,77,5K,1935,Right,1,3,3,LCM,5'9,165lbs,4.8M
M. Fraga,30,71,71,10K,1294,Right,1,3,1,GK,6'0,183lbs,
I. Oblyakov,19,71,82,1K,1873,Left,1,3,3,CM,5'9,163lbs,9.4M
S. Logan,30,71,71,6K,1858,Right,1,3,3,RB,5'9,159lbs,3M
D. Kaiser,29,71,71,18K,1970,Right,1,5,3,CAM,5'7,148lbs,3M
D. Silva,31,71,71,3K,1899,Right,1,3,3,LCM,5'9,163lbs,2.8M
A. Nwakaeme,29,71,71,21K,1744,Right,1,3,3,LM,6'1,176lbs,4.6M
J. Sambenito,26,71,74,0,1651,Right,1,3,2,ST,6'0,190lbs,
Toribio,29,71,71,7K,1804,Left,1,3,2,RDM,5'9,157lbs,2.9M
M. Yumlu,30,71,71,11K,1463,Right,1,2,2,LCB,6'3,170lbs,3.5M
A. Milošević,26,71,74,6K,1719,Right,1,3,2,RCB,6'3,181lbs,3.4M
D. Nounkeu,32,71,71,11K,1657,Right,1,3,2,CB,6'0,176lbs,2.7M
M. Barragán,26,71,72,10K,1787,Right,1,4,3,ST,5'10,168lbs,5M
M. Ilaimaharitra,22,71,77,8K,1820,Right,1,3,3,RDM,5'10,174lbs,4.7M
H. González,27,71,72,20K,1186,Right,1,4,1,GK,6'1,181lbs,
J. El Yamiq,26,71,72,10K,1615,Right,1,3,2,CB,6'3,183lbs,
João Teixeira,24,71,75,7K,1903,Right,1,3,3,LW,5'10,159lbs,6.7M
M. Doumbia,23,71,77,11K,1781,Right,1,2,3,LM,5'7,141lbs,7.1M
R. Brégerie,31,71,71,15K,1584,Right,1,3,2,CB,6'3,198lbs,
A. Diallo,26,71,75,14K,1123,Right,1,2,1,GK,6'3,181lbs,4.2M
M. Bruno,24,71,74,9K,1817,Right,1,3,3,RM,5'10,163lbs,4.7M
J. Faussurier,31,71,71,6K,1927,Right,1,3,2,RM,5'8,154lbs,3.6M
C. Wickham,25,71,75,32K,1708,Right,1,3,3,ST,6'3,198lbs,6.1M
A. Abrashi,28,71,71,15K,1888,Right,1,2,2,CDM,5'8,157lbs,3.5M
K. Nakamura,23,71,77,5K,1064,Right,1,3,1,GK,6'1,181lbs,3.4M
Suso Santana,33,71,71,7K,1925,Right,1,3,4,RM,5'8,137lbs,2.3M
J. Bowen,21,71,81,13K,1790,Left,1,3,3,RM,5'9,154lbs,8.1M
Garrido,28,71,71,7K,1604,Right,1,3,2,RDM,6'1,179lbs,3.1M
